id,Cluster
496,0.0
3638,0.0
4034,0.0
4037,0.0
4038,0.0
10522,0.0
10523,0.0
10524,0.0
10525,0.0
10526,0.0
6718,602.0
7608,602.0
7611,602.0
7879,602.0
7880,602.0
7881,602.0
8150,602.0
8151,602.0
8152,602.0
8153,602.0
978,593.0
4958,593.0
7350,593.0
7612,593.0
7613,593.0
7882,593.0
7883,593.0
7885,593.0
7886,593.0
7887,593.0
10570,633.0
10592,633.0
10608,633.0
10609,633.0
10619,633.0
10620,633.0
10633,633.0
10634,633.0
10635,633.0
10636,633.0
10637,633.0
10638,633.0
5062,456.0
10879,456.0
10890,456.0
10891,456.0
10892,456.0
10909,456.0
10910,456.0
10911,456.0
10912,456.0
10913,456.0
5066,649.0
10881,649.0
10893,649.0
10894,649.0
10914,649.0
10916,649.0
10934,649.0
10935,649.0
10936,649.0
10937,649.0
10938,649.0
6019,310.0
10037,310.0
10049,310.0
10056,310.0
10057,310.0
10063,310.0
10064,310.0
10065,310.0
10066,310.0
10067,310.0
9278,594.0
9376,594.0
9377,594.0
9480,594.0
9481,594.0
9483,594.0
10068,594.0
10069,594.0
10070,594.0
10071,594.0
10072,594.0
10078,617.0
10090,617.0
10091,617.0
10092,617.0
10098,617.0
10100,617.0
10109,617.0
10110,617.0
10111,617.0
10112,617.0
10113,617.0
247,367.0
891,367.0
1338,367.0
3667,367.0
3668,367.0
3670,367.0
6296,367.0
6297,367.0
6298,367.0
6299,367.0
6300,367.0
6301,367.0
10568,368.0
10586,368.0
10587,368.0
10588,368.0
10601,368.0
10603,368.0
10614,368.0
10615,368.0
10616,368.0
10617,368.0
10618,368.0
9290,247.0
9386,247.0
9444,247.0
9511,247.0
9512,247.0
9513,247.0
9582,247.0
9583,247.0
9584,247.0
9585,247.0
9586,247.0
5903,248.0
6449,248.0
6837,248.0
6838,248.0
6839,248.0
6840,248.0
7102,248.0
7103,248.0
7104,248.0
7105,248.0
7106,248.0
742,249.0
1046,249.0
3441,249.0
3442,249.0
3798,249.0
3799,249.0
3801,249.0
4186,249.0
